,Unnamed: 0,Keyword,Score,Acc.,Bias
0,15,bamboo forest,4.047,0.2,S
1,10,bamboo,3.062,0.2,S
2,7,forest,2.281,0.3333333333333333,S
3,9,woods,2.094,0.6363636363636364,S
4,12,rainforest,1.984,0.0,S
5,14,trees,1.859,0.3333333333333333,S
6,5,garden,1.656,0.125,S
7,4,tree,1.641,0.55,S
8,16,bird of paradise,1.375,0.0,S
9,18,wild,0.2344,0.8461538461538461,S
10,8,prey,0.03125,0.7647058823529411,S
11,11,bird of prey,-0.01563,0.75,
12,2,species,-0.0625,0.7307692307692307,
13,0,biological species,-0.1094,0.7307692307692307,
14,3,bird,-0.125,0.6875,
15,19,species of bird,-0.1406,0.5,
16,1,biological,-0.2656,0.732824427480916,
17,13,paradise,-0.3594,0.0,
18,6,person,-0.4219,0.6842105263157895,
19,17,rocks,-0.5625,0.7142857142857143,
